danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,added_at,albumid,artists,genre,imagehref,trackName
0.68,0.401,11,-7.245,0,0.0437,0.251,0.543,0.179,0.548,160.105,audio_features,4FMAXCbwoTlU0lglpAPMyw,spotify:track:4FMAXCbwoTlU0lglpAPMyw,https://api.spotify.com/v1/tracks/4FMAXCbwoTlU0lglpAPMyw,https://api.spotify.com/v1/audio-analysis/4FMAXCbwoTlU0lglpAPMyw,180000,4,2019-08-10T07:56:49Z,0A3YC0hhlyMXR7J4TLxqcR,Vague003,boston hip hop,https://i.scdn.co/image/ab67616d0000b273688ab3b29f0746b7bb7b20e4,I don’t blame you
0.646,0.367,9,-13.671,1,0.0966,0.781,0.491,0.113,0.0369,88.98,audio_features,5FStbIIR3ATnoyXAzv9vIs,spotify:track:5FStbIIR3ATnoyXAzv9vIs,https://api.spotify.com/v1/tracks/5FStbIIR3ATnoyXAzv9vIs,https://api.spotify.com/v1/audio-analysis/5FStbIIR3ATnoyXAzv9vIs,342960,4,2018-07-20T06:53:26Z,17CyGj4moYLT3kSwHB8Wlp,The Acid,organic electronic,https://i.scdn.co/image/6c8b3c1976a75973e70daa2a7d46ca053fe76572,Tumbling Lights
0.541,0.538,10,-8.593,0,0.034,0.432,0.0609,0.302,0.187,120.036,audio_features,76ZLZMb1Pz5ZIjM0ADVdqM,spotify:track:76ZLZMb1Pz5ZIjM0ADVdqM,https://api.spotify.com/v1/tracks/76ZLZMb1Pz5ZIjM0ADVdqM,https://api.spotify.com/v1/audio-analysis/76ZLZMb1Pz5ZIjM0ADVdqM,207601,4,2018-07-19T09:20:25Z,6grAGdPM2t2MDybGFVauUd,Koda,chillstep,https://i.scdn.co/image/ab67616d0000b2738b5d7ac8e4de5a9effe252f3,touch
0.816,0.255,6,-10.016,0,0.0416,0.774,0.00684,0.114,0.323,89.922,audio_features,7yZTPEXSUqWw7sEYKKDv2N,spotify:track:7yZTPEXSUqWw7sEYKKDv2N,https://api.spotify.com/v1/tracks/7yZTPEXSUqWw7sEYKKDv2N,https://api.spotify.com/v1/audio-analysis/7yZTPEXSUqWw7sEYKKDv2N,155528,4,2018-07-18T16:19:23Z,6hXa2OPdIt6xwGpaRpvDFz,HOMESHAKE,indie garage rock,https://i.scdn.co/image/ab67616d0000b273cd7c3cba379ae624e118ebcb,Every Single Thing
0.566,0.304,9,-10.882,0,0.0415,0.873,0.32,0.105,0.058,138.004,audio_features,4oGgdvWgU3STW7nddBMm4e,spotify:track:4oGgdvWgU3STW7nddBMm4e,https://api.spotify.com/v1/tracks/4oGgdvWgU3STW7nddBMm4e,https://api.spotify.com/v1/audio-analysis/4oGgdvWgU3STW7nddBMm4e,260870,4,2018-07-16T09:07:26Z,6IBBdhCvLtS8yDtNxvhZ7C,RKCB,alternative r&b,https://i.scdn.co/image/ab67616d0000b273aaf5c5ad2199905a8f34ce7f,Comatose
0.67,0.395,8,-16.417,0,0.076,0.78,0.653,0.0935,0.163,109.932,audio_features,6zrsezxZAmVnj4eVABRp9P,spotify:track:6zrsezxZAmVnj4eVABRp9P,https://api.spotify.com/v1/tracks/6zrsezxZAmVnj4eVABRp9P,https://api.spotify.com/v1/audio-analysis/6zrsezxZAmVnj4eVABRp9P,209827,4,2018-07-16T09:07:20Z,2Xv1zWXNkd2aMGmqEpUjc0,Henry Green,chamber pop,https://i.scdn.co/image/ab67616d0000b2737752f1a4eb6f5c8cf5ff1a0a,Another Light
0.413,0.0608,6,-17.764,1,0.0429,0.919,0.00000577,0.112,0.0482,112.107,audio_features,5HaBpWsIILIxVSczOVUp8M,spotify:track:5HaBpWsIILIxVSczOVUp8M,https://api.spotify.com/v1/tracks/5HaBpWsIILIxVSczOVUp8M,https://api.spotify.com/v1/audio-analysis/5HaBpWsIILIxVSczOVUp8M,366551,3,2018-07-10T14:13:17Z,3IaUSsVsin4LTlTPSOGy5X,St. South,vapor soul,https://i.scdn.co/image/ab67616d0000b273dd69bf764744df59c2723261,Inure
0.459,0.363,2,-8.958,0,0.0398,0.532,0,0.141,0.219,129.728,audio_features,6d4ZgdFIHQY6SoAUI5vWf1,spotify:track:6d4ZgdFIHQY6SoAUI5vWf1,https://api.spotify.com/v1/tracks/6d4ZgdFIHQY6SoAUI5vWf1,https://api.spotify.com/v1/audio-analysis/6d4ZgdFIHQY6SoAUI5vWf1,240416,4,2018-07-10T13:21:16Z,7jcgXFjbTtFmKfrSyjS9vj,The Japanese House,art pop,https://i.scdn.co/image/ab67616d0000b273d3ccaabc65eb40710f7fa7fb,3/3
0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,audio_features,6K4t31amVTZDgR3sKmwUJJ,spotify:track:6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/audio-analysis/6K4t31amVTZDgR3sKmwUJJ,216320,4,2018-07-10T03:24:45Z,79dL7FLiJFOO0EoehUHQBv,Tame Impala,australian psych,https://i.scdn.co/image/249248e704f34007898ef0465f3c2b1c521d4347,The Less I Know The Better
0.593,0.41,3,-9.722,1,0.0239,0.238,0.587,0.117,0.27,99.721,audio_features,0qmpEzs4SWVw6zqhMyrOvc,spotify:track:0qmpEzs4SWVw6zqhMyrOvc,https://api.spotify.com/v1/tracks/0qmpEzs4SWVw6zqhMyrOvc,https://api.spotify.com/v1/audio-analysis/0qmpEzs4SWVw6zqhMyrOvc,204467,4,2018-07-10T03:12:21Z,4qftBBO7pnYlek3mRENIvM,Beach House,art pop,https://i.scdn.co/image/ab67616d0000b273d08014840a66d6ea85a73115,Pay No Mind
